date,close,open,high,low,volume,volume.1,turnover,total_shares,PE_TTM,PB,PS_TTM,reits_divd,EPS_TTM,pre_close,MA5,MA10,MACD,RSI,DX,next_return
2005/8/16,953.012,955.27,959.343,939.916,2386.1818,12.6061,2.0642,467.8241,14.5907,1.9005,0.9842,2.7221,0.3461,954.502,946.4476,933.0321,27.98505181,64.37866417,45.97555052,0.008416415
2005/8/17,920.671,943.405,953.342,930.325,2145.7769,10.9105,1.8979,467.8241,14.7075,1.9144,0.9903,2.6963,0.3461,945.058,948.976,937.3763,28.05568361,66.48934339,32.31434347,-0.033935564
2005/8/18,923.038,954.155,956.841,919.121,3185.5327,15.9164,3.1287,467.8241,14.1005,1.8374,0.9492,2.8008,0.3461,953.012,942.3118,939.0284,25.21139019,52.7920915,18.3772822,0.002570951
2005/8/19,931.673,918.091,927.32,910.083,2224.2679,10.8815,1.9019,467.8241,14.1081,1.8413,0.9509,2.8016,0.3461,920.671,939.2562,938.9519,22.8844664,53.54636798,8.453195374,0.009354978
2005/8/22,923.414,923.108,933.351,919.222,1603.101,7.7458,1.542,467.8241,14.1838,1.8434,0.953,2.7965,0.3461,923.038,934.6904,939.3721,21.48941822,56.29011605,13.65507934,-0.008864698
2005/8/23,930.651,931.809,931.809,915.033,1540.6488,7.5088,1.3135,467.8241,14.098,1.8308,0.9459,2.8131,0.3461,931.673,930.3616,938.4046,19.4927005,53.06193806,9.021308258,0.007837221
2005/8/24,930.118,923.558,935.23,923.558,1595.9747,7.7365,1.3607,467.8241,14.2723,1.8549,0.9583,2.7466,0.3461,923.414,925.8894,937.4327,18.28349203,55.47171628,12.17060101,-0.000572717
2005/8/25,928.258,930.975,933.196,920.61,1629.2057,7.6049,1.3875,467.9563,14.3292,1.8545,0.958,2.746,0.346,930.651,927.7788,935.0453,17.08522907,55.24675281,8.679362521,-0.001999746
2005/8/26,917.371,930.246,930.325,921.843,1542.9804,7.1862,1.3141,468.1202,14.4421,1.8519,0.9553,2.7522,0.3459,930.118,928.8228,934.0395,15.80333952,54.41738254,8.679362521,-0.01172842
2005/8/29,914.88,928.341,928.341,913.767,1546.2261,7.1377,1.3157,468.1202,14.2093,1.8093,0.9202,2.7963,0.3459,928.258,925.9624,930.3264,13.75043644,49.71310877,1.100500279,-0.002715368
2005/8/30,927.916,916.086,920.208,912.838,1243.817,5.8584,1.0584,468.1202,14.1814,1.7969,0.9114,2.8104,0.3459,917.371,924.2556,927.3086,11.7866242,48.67624384,2.190858529,0.014248863
2005/8/31,944.559,915.122,928.212,911.505,1462.363,7.0343,1.2442,468.1301,14.2493,1.813,0.9141,2.7776,0.3459,914.88,923.7086,924.799,11.1536132,54.07457758,7.292576632,0.017935891
2005/9/1,947.871,928.52,944.947,926.06,2230.6384,10.5587,1.8979,468.1301,14.5023,1.8452,0.9304,2.7299,0.3459,927.916,926.5968,927.1878,11.85820443,59.87696847,23.31619539,0.003506398
2005/9/2,952.717,945.978,947.918,941.314,1861.4438,8.8648,1.5838,468.1301,14.5295,1.8486,0.9321,2.7243,0.3459,944.559,930.5194,929.6711,12.53930349,60.93473067,25.7691644,0.00511251
2005/9/5,936.61,949.077,952.985,944.629,1784.3318,8.2422,1.5182,468.1301,14.5578,1.8522,0.9339,2.7193,0.3459,947.871,937.5886,931.7755,13.31660557,62.49279977,29.88835154,-0.016906385
2005/9/6,952.758,953.41,956.297,934.972,2122.2255,10.584,1.8057,468.1301,14.3274,1.8229,0.9192,2.7638,0.3459,952.717,941.9346,933.0951,12.48895784,54.68576494,16.60739714,0.017240901
2005/9/7,955.282,934.991,952.896,932.648,1960.8466,9.9568,1.6684,468.1301,14.5385,1.8498,0.9327,2.7236,0.3459,936.61,946.903,935.3058,12.98635113,60.07131326,13.59713016,0.002649151
2005/9/8,949.065,954.273,958.867,947.707,2242.4393,11.7533,1.908,468.1301,14.5504,1.8513,0.9335,2.7195,0.3459,952.758,949.0476,937.8222,13.42939885,60.85444181,19.35735343,-0.006508026
2005/9/9,949.506,955.112,959.898,946.021,1621.931,7.9242,1.3789,468.3801,14.5039,1.8459,0.9305,2.7462,0.3457,955.282,949.2864,939.9029,13.12753141,57.84497296,16.98576485,0.000464668
2005/9/12,963.774,949.779,952.551,945.403,1167.2613,5.6101,1.0072,468.3807,14.462,1.8406,0.9278,2.7525,0.3457,949.065,948.6442,943.1164,12.77660356,58.00362722,16.07533663,0.015026761
2005/9/13,970.193,949.584,963.921,948.128,1657.9431,7.999,1.4096,468.3816,14.6652,1.8664,0.9408,2.7146,0.3457,949.506,954.077,948.0058,13.49424581,62.87229048,27.2872545,0.006660275
2005/9/14,969.598,964.97,970.263,961.64,1995.8291,9.9426,1.6968,468.3816,14.7777,1.8807,0.948,2.6946,0.3457,963.774,957.564,952.2335,14.41477754,64.84676792,32.68891572,-0.00061328
2005/9/15,967.495,970.58,970.964,965.656,1637.7679,8.0982,1.3924,468.3816,14.7535,1.8777,0.9465,2.699,0.3457,970.193,960.4272,954.7374,14.92425649,64.50433367,33.27892157,-0.00216894
2005/9/16,971.136,969.619,970.37,964.285,1397.8571,6.9893,1.1884,468.3816,14.6896,1.8695,0.9424,2.7101,0.3457,969.598,964.1132,956.6998,14.98558324,63.2333441,30.86295688,0.003763327
2005/9/19,961.919,967.44,971.987,964.263,1473.7421,7.4275,1.253,468.3816,14.7295,1.8746,0.9449,2.703,0.3457,967.495,968.4392,958.5417,15.15330552,64.53622335,32.41896269,-0.009490947
2005/9/20,944.408,971.379,971.65,957.118,1863.6604,9.1894,1.5845,468.3816,14.6009,1.8582,0.9367,2.7267,0.3457,971.136,968.0682,961.0726,14.37676537,58.85088127,19.60917837,-0.018204235
2005/9/21,923.274,961.374,961.374,943.824,1854.1895,8.7605,1.5764,468.3816,14.2842,1.8227,0.9164,2.9154,0.3457,961.919,962.9112,960.2376,12.20763829,49.86334761,0.189127797,-0.02237804
2005/9/22,916.154,942.726,942.726,914.232,1811.5525,8.6256,1.5402,468.3816,13.993,1.7856,0.8977,2.843,0.3457,944.408,953.6464,957.0368,8.683158238,41.60507354,27.88074332,-0.007711687
2005/9/23,918.485,921.51,927.419,914.806,1154.7644,5.5499,0.9818,468.3816,13.932,1.7778,0.8938,2.8549,0.3457,923.274,943.3782,953.7457,5.254882887,39.24679535,27.88074332,0.002544332
2005/9/26,904.214,915.84,919.65,913.613,883.6241,4.3984,0.7512,468.3816,13.9523,1.7804,0.8951,2.8506,0.3457,916.154,932.848,950.6436,2.694976184,40.43713603,28.81325536,-0.015537543
2005/9/27,903.719,918.866,921.132,903.387,1108.6056,5.5761,0.9425,468.3816,13.6942,1.7475,0.8785,2.9021,0.3457,918.485,921.307,944.6876,-0.479788056,35.81102877,36.40397898,-0.000547437
2005/9/28,915.975,903.328,910.333,901.382,885.031,4.3315,0.7524,468.3816,13.6863,1.7465,0.878,2.9031,0.3457,904.214,913.1692,938.0402,-3.001158465,35.65864608,37.80433175,0.013561738
2005/9/29,917.392,904.28,915.975,904.28,1193.8978,5.7982,1.015,468.382,13.9451,1.7795,0.8946,2.8517,0.3457,903.719,911.7094,932.6779,-3.964703276,42.21499732,29.18408098,0.001546985
2005/9/30,907.321,916.587,918.662,913.452,900.1433,4.5295,0.7653,468.5929,13.9769,1.7835,0.8967,2.8463,0.3462,915.975,911.957,927.6676,-4.561398461,42.93896214,25.16829433,-0.010977859
2005/10/10,919.72,917.211,917.211,906.88,715.8451,3.6656,0.6083,468.593,13.7954,1.7601,0.8847,2.8951,0.3462,917.392,909.7242,921.2861,-5.780297556,39.18168789,30.83176792,0.013665505
2005/10/11,923.485,906.628,919.796,904.045,775.8295,4.0325,0.6579,468.8298,13.9891,1.7848,0.8971,2.8549,0.346,907.321,912.8254,917.0662,-5.680309125,45.50411473,33.18105997,0.004093637
2005/10/12,916.499,920.453,926.094,917.377,1220.8852,6.6532,1.0353,468.8367,14.0026,1.787,0.8982,2.8498,0.346,919.72,916.7786,914.9739,-5.236895862,47.29578386,23.17235569,-0.007564822
2005/10/13,904.828,923.426,926.009,916.275,1082.8904,6.0218,0.9183,468.8382,13.8659,1.7696,0.8894,2.8711,0.346,923.485,916.8834,914.2964,-5.387100334,44.38016156,24.24513293,-0.012734329
2005/10/14,897.623,916.337,917.89,902.813,1012.394,5.568,0.8585,468.8382,13.6962,1.7479,0.8785,2.9042,0.346,916.499,914.3706,913.1638,-6.374410386,39.94935511,36.00153129,-0.007962839
2005/10/17,902.366,903.266,903.266,892.359,1055.2506,5.5165,0.8944,468.9954,13.5428,1.7274,0.8682,2.9357,0.3459,904.828,912.431,911.0776,-7.650058884,37.46276432,43.3533618,0.005283956
2005/10/18,898.744,897.366,903.001,895.622,1136.6317,5.85,0.9633,468.9954,13.619,1.7353,0.8717,2.9213,0.3459,897.623,908.9602,910.8928,-8.183959457,40.10568409,43.3533618,-0.004013892
2005/10/19,899.915,902.036,907.876,897.045,1103.3048,5.4741,0.9351,468.9955,13.5358,1.7241,0.8665,2.9345,0.3459,902.366,904.012,910.3953,-8.797927605,38.75860396,34.96806542,0.001302929
2005/10/20,904.414,898.891,900.126,889.569,1260.8725,6.0825,1.0686,468.9955,13.5761,1.7265,0.8678,2.9264,0.3459,898.744,900.6952,908.7893,-9.085282393,39.46651118,40.69691209,0.004999361
2005/10/21,906.652,899.645,907.792,897.986,1136.4588,5.6451,0.9675,468.9955,13.6287,1.7301,0.8698,2.9146,0.3459,899.915,900.6124,907.4915,-8.847987341,42.22951236,28.22331448,0.00247453
2005/10/24,894.272,905.129,908.453,900.229,921.8982,4.6748,0.9696,468.9955,13.6113,1.7189,0.8639,2.9149,0.3459,904.414,902.4182,907.4246,-8.382710735,43.608399,27.17635263,-0.013654633
2005/10/25,875.82,905.967,905.967,893.609,1121.3401,5.6871,0.9523,469.9696,13.4075,1.6911,0.8497,2.958,0.3452,906.652,900.7994,904.8798,-8.910226663,38.17965048,33.07052073,-0.020633543
2005/10/26,875.849,892.617,892.617,873.895,1216.7123,5.9118,1.1056,469.9696,13.0667,1.6477,0.8283,2.999,0.3452,894.272,896.2146,900.1133,-10.69393599,31.82117162,46.86315706,3.31E-05
2005/10/27,867.729,873.472,879.668,869.72,1190.8588,5.8818,1.0094,469.9696,13.1718,1.6489,0.8299,2.9892,0.3452,875.82,891.4014,896.0483,-11.96724744,31.84038429,49.24847013,-0.009271004
2005/10/28,876.282,875.862,880.206,859.692,1197.3376,5.5653,1.0263,469.9696,13.02,1.6064,0.792,3.041,0.3452,875.849,884.0644,892.3384,-13.47622653,29.34670722,54.52844631,0.009856764
2005/10/31,872.865,866.618,878.409,866.153,1044.3651,4.9548,0.9341,470.1096,13.5096,1.6191,0.7917,3.0036,0.345,867.729,877.9904,890.2043,-13.82260928,35.11141553,54.52844631,-0.00389943
2005/11/1,882.478,875.956,875.956,862.686,1008.2745,4.7625,0.8415,470.1096,13.5027,1.6183,0.7913,3.0063,0.345,876.282,873.709,887.2542,-14.20905035,33.92066581,56.34933167,0.011013158
2005/11/2,874.575,873.393,884.936,873.393,1310.4973,6.1154,1.0953,470.1096,13.6409,1.6348,0.7994,2.9759,0.345,872.865,875.0406,885.6276,-13.58304208,40.07754196,40.63996295,-0.008955464
2005/11/3,878.361,882.189,885.681,872.11,1217.9182,5.8432,1.0284,470.1096,13.5495,1.6239,0.794,2.9975,0.345,882.478,874.7858,883.0936,-13.56822599,37.02340285,41.54367324,0.00432896
2005/11/4,877.278,873.353,878.361,869.68,956.731,4.5702,0.7938,470.1096,13.579,1.6277,0.7957,3.0045,0.345,874.575,876.9122,880.4883,-13.0999772,39.40568358,43.30422997,-0.001232978
2005/11/7,881.524,877.617,877.617,870.082,771.3259,3.7583,0.7092,470.5016,13.5348,1.6224,0.7931,3.0137,0.3448,878.361,877.1114,877.5509,-12.67022128,38.95176969,43.30422997,0.004839971
2005/11/8,879.252,876.432,881.895,870.962,1012.8761,4.6173,0.8439,470.5016,13.6255,1.6333,0.7985,2.9955,0.3448,877.278,878.8432,876.2761,-11.85041569,41.7831582,35.00257953,-0.002577355
2005/11/9,862.968,881.513,884.942,878.684,1177.4405,5.5448,0.9734,470.5016,13.617,1.6323,0.798,2.9989,0.3448,881.524,878.198,876.6193,-11.25431256,40.6955162,29.25900072,-0.018520288
2005/11/10,864.79,878.625,878.625,862.091,1085.3771,5.0716,0.9028,470.5016,13.4113,1.6076,0.7859,3.0455,0.3448,879.252,875.8766,875.3312,-11.95803446,33.88696342,43.38473948,0.002111318
2005/11/11,862.149,861.221,867.328,857.789,921.972,4.2215,0.7606,470.6818,13.4293,1.6098,0.787,3.0415,0.3446,862.968,873.1624,875.0373,-12.2277649,35.19343277,46.37453331,-0.003053921
2005/11/14,856.635,864.081,864.246,858.344,627.1674,2.9243,0.523,472.11,13.3646,1.6024,0.7832,3.0705,0.3436,864.79,870.1366,873.624,-12.51042249,34.14029756,46.37453331,-0.006395646
2005/11/15,863.119,862.067,867.46,853.859,825.2478,4.1587,0.6777,472.1104,13.3642,1.6023,0.7831,3.0727,0.3436,862.149,865.1588,872.001,-13.02917219,31.98804493,49.59307642,0.007569151
2005/11/16,862.658,855.449,863.167,847.49,906.6138,4.1854,0.7445,472.1104,13.4717,1.6152,0.7894,3.0466,0.3436,856.635,861.9322,870.0651,-12.76987726,37.01627579,53.83081301,-0.000534109
2005/11/17,882.241,863.077,865.791,859,881.1637,4.1205,0.7325,472.1104,13.4677,1.6147,0.7892,3.0475,0.3436,863.119,861.8702,868.8734,-12.45797522,36.80791607,48.29910116,0.022700769
